words,board
platter-inedible,"['teens', 'solder', 'lisp', 'peek', 'earring', 'movies', 'lemony', 'lit', 'ruling', 'unsuccessful', 'impairment', 'candy', 'wind', 'erosion', 'claim', 'pop', 'actions', 'ravenous', 'platter', 'inedible']"
cow-dairy,"['mannerism', 'national', 'depression', 'sample', 'crushed', 'harpoon', 'dread', 'safari', 'heating', 'meander', 'bunch', 'spying', 'bikini', 'geek', 'department', 'insufficient', 'brimstone', 'field', 'cow', 'dairy']"
knowing-thinker,"['purse', 'capture', 'crowd', 'terminal', 'makeup', 'journey', 'geisha', 'supermarket', 'gooey', 'tables', 'faithful', 'seen', 'forthright', 'idol', 'sensuous', 'stealth', 'distant', 'witty', 'knowing', 'thinker']"
purgatory-heaven,"['forethought', 'cabinet', 'sedative', 'slur', 'ledger', 'blonde', 'intern', 'month', 'bum', 'related', 'pants', 'clams', 'super', 'brown', 'compatible', 'net', 'fingers', 'biblical', 'purgatory', 'heaven']"
hose-bathing,"['chic', 'certain', 'outlaw', 'request', 'enclosure', 'scramble', 'glorious', 'email', 'apprehend', 'inbetween', 'viper', 'terrible', 'downhill', 'glowing', 'vegan', 'stock', 'bravery', 'quench', 'hose', 'bathing']"
vines-plant,"['queen', 'mischievous', 'untrained', 'tentative', 'canine', 'ominous', 'rehearsal', 'thump', 'slope', 'nada', 'forgive', 'demi', 'blankets', 'calcium', 'reveal', 'outsider', 'mittens', 'unripe', 'vines', 'plant']"
punch-strike,"['fad', 'upgrade', 'fridge', 'tender', 'shallow', 'difference', 'proven', 'certainty', 'fast', 'dawn', 'lift', 'saturated', 'unkempt', 'airline', 'flan', 'calories', 'worthy', 'glove', 'punch', 'strike']"
grill-sirloin,"['nod', 'craftsman', 'smooth', 'jazz', 'eleven', 'jet', 'hardcore', 'understanding', 'hut', 'gaze', 'refreshing', 'huge', 'twins', 'disbelieve', 'enrage', 'frost', 'arachnid', 'turkey', 'grill', 'sirloin']"
clowns-trapeze,"['control', 'cheap', 'refreshment', 'strategy', 'acrid', 'bench', 'porridge', 'glutton', 'envision', 'unseen', 'blame', 'foam', 'advertisement', 'magpie', 'confirmation', 'brew', 'image', 'whimsical', 'clowns', 'trapeze']"
semester-faculty,"['once', 'comet', 'imprison', 'earnings', 'childless', 'anew', 'cynic', 'aborigine', 'swanky', 'you', 'magnify', 'prankster', 'fix', 'toad', 'standard', 'pebble', 'grab', 'learner', 'semester', 'faculty']"
elated-vivacious,"['osmosis', 'exoskeleton', 'lord', 'contaminate', 'violation', 'dots', 'knew', 'adultery', 'comforter', 'surrounding', 'forty', 'need', 'glitch', 'sewer', 'deck', 'worldwide', 'panel', 'successful', 'elated', 'vivacious']"
broadcast-television,"['railway', 'lips', 'repression', 'sin', 'prior', 'javelin', 'slim', 'bake', 'ahoy', 'squint', 'intense', 'hellfire', 'healthy', 'odd', 'hangover', 'physiology', 'forces', 'movie', 'broadcast', 'television']"
auction-bank,"['pepperoni', 'following', 'togetherness', 'resignation', 'tub', 'sculpture', 'parallel', 'fluorescent', 'leprechaun', 'inquisitive', 'bubbling', 'woodsman', 'galoshes', 'introduction', 'shuttle', 'usual', 'shave', 'tips', 'auction', 'bank']"
grandparent-maturity,"['regard', 'envy', 'ceremony', 'genocide', 'sty', 'morbid', 'chewing', 'satisfaction', 'possessive', 'stem', 'deliver', 'world', 'splendid', 'rub', 'agitated', 'zoo', 'feline', 'adults', 'grandparent', 'maturity']"
gallop-foal,"['living', 'nutritious', 'sequence', 'artistic', 'irony', 'rum', 'place', 'lobotomy', 'chip', 'mesh', 'extend', 'sparse', 'inference', 'finally', 'meticulous', 'occurrence', 'intended', 'straw', 'gallop', 'foal']"
parasite-insect,"['share', 'detective', 'anthem', 'stealthy', 'scooter', 'months', 'piercing', 'rational', 'rank', 'heights', 'collaborate', 'improvement', 'trainee', 'plan', 'are', 'munch', 'irrelevant', 'worms', 'parasite', 'insect']"
gluten-flour,"['cheerleader', 'ferocious', 'customer', 'aching', 'excite', 'needle', 'molecule', 'dollars', 'programming', 'ruffle', 'crossroad', 'crest', 'majesty', 'undesirable', 'surrounded', 'curtain', 'restart', 'moldy', 'gluten', 'flour']"
overcome-surpass,"['shrubs', 'electrical', 'passive', 'dreamy', 'lighting', 'dispute', 'pageant', 'spike', 'dollar', 'fry', 'tragic', 'eight', 'integrity', 'anemia', 'cooperative', 'reception', 'fearful', 'losing', 'overcome', 'surpass']"
baggy-suspenders,"['robin', 'preschool', 'mingle', 'scythe', 'affirmative', 'intellectual', 'walkway', 'bumps', 'antibiotic', 'discus', 'cog', 'skeptic', 'monk', 'sneaking', 'tease', 'cereal', 'weightless', 'attire', 'baggy', 'suspenders']"
byte-graphics,"['stable', 'clause', 'maggot', 'skeptical', 'entry', 'chatty', 'fiddler', 'upstanding', 'destroyed', 'bullet', 'unstable', 'chronic', 'far', 'spice', 'commute', 'third', 'ears', 'offline', 'byte', 'graphics']"
tax-tuition,"['anticipation', 'glamorous', 'astrology', 'shorts', 'opposite', 'manual', 'pyramids', 'tunes', 'cringe', 'gentleman', 'squid', 'hunch', 'amphibian', 'deceit', 'belongings', 'asleep', 'footstool', 'quid', 'tax', 'tuition']"
prism-aura,"['rodeo', 'exceed', 'compromise', 'darling', 'succeed', 'region', 'untrue', 'downstream', 'nog', 'expire', 'suspense', 'apache', 'hoot', 'phenomenon', 'extinction', 'pregnancy', 'washcloth', 'glisten', 'prism', 'aura']"
screws-chisel,"['constipation', 'cake', 'surgery', 'various', 'partner', 'kimono', 'paragraph', 'form', 'exhaustion', 'insider', 'pasty', 'stamp', 'applause', 'barren', 'ambassador', 'inter', 'influence', 'axe', 'screws', 'chisel']"
citrus-tart,"['exceptional', 'overwhelming', 'contraception', 'woodworker', 'classify', 'adoration', 'homey', 'consistent', 'tracks', 'desk', 'traverse', 'nightingale', 'lyrics', 'competition', 'absorbent', 'configure', 'approximate', 'navel', 'citrus', 'tart']"
pram-diapers,"['aspect', 'wishful', 'rouge', 'gulp', 'canary', 'steering', 'centered', 'texture', 'wireless', 'sill', 'disturb', 'elegance', 'ordered', 'lenses', 'louse', 'slushy', 'anyway', 'carrying', 'pram', 'diapers']"
addition-abacus,"['conclusion', 'flint', 'ornate', 'personal', 'amend', 'talker', 'crisp', 'implode', 'margarine', 'ruckus', 'sonnet', 'sheer', 'script', 'adversity', 'lubrication', 'goats', 'barbecue', 'accounting', 'addition', 'abacus']"
peaches-mandarin,"['consideration', 'buckle', 'shoe', 'vaccination', 'skittish', 'toothache', 'elephant', 'sinner', 'resources', 'migraine', 'potent', 'zodiac', 'audience', 'bolts', 'deter', 'optimistic', 'insightful', 'honeydew', 'peaches', 'mandarin']"
partridge-dove,"['saucepan', 'custody', 'brake', 'bio', 'neuron', 'balance', 'dancer', 'musk', 'identical', 'surfing', 'crater', 'sanity', 'rascal', 'thief', 'acquaintance', 'after', 'colloquial', 'flutter', 'partridge', 'dove']"
perky-smiles,"['goddess', 'visa', 'daze', 'curse', 'sage', 'dramatic', 'chalkboard', 'around', 'fitness', 'authority', 'monitor', 'ten', 'did', 'console', 'completion', 'night', 'median', 'pleasurable', 'perky', 'smiles']"
feather-toucan,"['cliff', 'foolish', 'who', 'posterior', 'surrender', 'nonchalant', 'donkey', 'engage', 'energetic', 'footwear', 'muffled', 'walking', 'cats', 'fortify', 'ritual', 'menace', 'giant', 'flighty', 'feather', 'toucan']"
lifeguard-boating,"['strip', 'greed', 'decomposition', 'rejoice', 'forever', 'diagonal', 'gummy', 'takeover', 'admission', 'receiver', 'oranges', 'retirement', 'thrifty', 'stone', 'misfortune', 'lightening', 'perimeter', 'taps', 'lifeguard', 'boating']"
scary-supernatural,"['microscope', 'payback', 'vintage', 'mints', 'painkiller', 'valid', 'ensemble', 'aimless', 'floral', 'maize', 'pressure', 'sincere', 'pal', 'underdog', 'knock', 'ski', 'submission', 'shadowy', 'scary', 'supernatural']"
dating-boyfriend,"['scales', 'legend', 'intrusive', 'hail', 'gel', 'multicultural', 'crevasse', 'biceps', 'wimp', 'bother', 'evangelical', 'pile', 'puddle', 'visualize', 'window', 'bust', 'lap', 'attract', 'dating', 'boyfriend']"
